NomeEvento,IDEvento,CodPais,TimeZone,DataAbertura,TotalMercados,DataLocal
1860 Munich v Hansa Rostock,33811333,DE,GMT,2024-11-30 13:00:00,18,2024-11-30 10:00:00
Loughgall v Glentoran,33811332,GB,GMT,2024-11-30 15:00:00,24,2024-11-30 12:00:00
Gasogi United v Gorilla FC,33827725,RW,GMT,2024-11-30 13:00:00,24,2024-11-30 10:00:00
Bath City v Boreham Wood,33822094,GB,GMT,2024-11-30 15:00:00,24,2024-11-30 12:00:00
Brest v Strasbourg,33773961,FR,GMT,2024-11-30 18:00:00,43,2024-11-30 15:00:00
UD Logrones v UD Barbastro,33822607,ES,GMT,2024-11-30 17:00:00,24,2024-11-30 14:00:00
L Union St Jean v Versailles 78 FC,33828232,FR,GMT,2024-11-30 17:00:00,24,2024-11-30 14:00:00
Maidstone Utd v St Albans,33822100,GB,GMT,2024-11-30 15:00:00,24,2024-11-30 12:00:00
Partizan Belgrade v FK Jedinstvo Ub,33825173,CS,GMT,2024-11-30 13:55:00,24,2024-11-30 10:55:00
Dorking Wanderers v Truro City,33822101,GB,GMT,2024-11-30 15:00:00,24,2024-11-30 12:00:00
Salisbury City v Hemel Hempstead,33822102,GB,GMT,2024-11-30 15:00:00,24,2024-11-30 12:00:00
Hornchurch v Hampton and Richmond,33822103,GB,GMT,2024-11-30 15:00:00,24,2024-11-30 12:00:00
Weymouth v Tonbridge Angels,33822096,GB,GMT,2024-11-30 15:00:00,24,2024-11-30 12:00:00
Jura Sud v Annecy,33827729,FR,GMT,2024-11-30 15:00:00,24,2024-11-30 12:00:00
Paris St-G v Nantes,33773974,FR,GMT,2024-11-30 20:00:00,43,2024-11-30 17:00:00
SD Ejea v SD Logrones,33822610,ES,GMT,2024-11-30 17:00:00,24,2024-11-30 14:00:00
Enfield Town v Torquay,33822099,GB,GMT,2024-11-30 15:00:00,24,2024-11-30 12:00:00
Farnborough FC v Chippenham,33822108,GB,GMT,2024-11-30 15:00:00,24,2024-11-30 12:00:00
Wolves v Bournemouth,33769882,GB,GMT,2024-11-30 15:00:00,64,2024-11-30 12:00:00
Mladost Lucani v Crvena Zvezda,33825182,CS,GMT,2024-11-30 16:00:00,24,2024-11-30 13:00:00
Worthing v Weston-super-Mare,33822104,GB,GMT,2024-11-30 15:00:00,24,2024-11-30 12:00:00
Manila Digger FC v Stallion Penson FC,33827739,PH,GMT,2024-11-30 12:30:00,19,2024-11-30 09:30:00
FK Radnicki 1923 v FK IMT Novi Beograd,33825179,CS,GMT,2024-11-30 13:00:00,15,2024-11-30 10:00:00
Chelmsford v Slough Town,33822107,GB,GMT,2024-11-30 15:00:00,24,2024-11-30 12:00:00
FK Napredak v Zeleznicar Pancevo,33825189,CS,GMT,2024-11-30 13:00:00,18,2024-11-30 10:00:00
France (W) v Nigeria Olympic (W),33825696,,GMT,2024-11-30 20:10:00,24,2024-11-30 17:10:00
Chile (W) v Uruguay (W),33825697,,GMT,2024-11-30 23:00:00,24,2024-11-30 20:00:00
MC El Bayadh v ES Mostaganem,33826732,DZ,GMT,2024-11-30 14:00:00,24,2024-11-30 11:00:00
Adana Demirspor v Konyaspor,33817006,TR,GMT,2024-11-30 13:00:00,19,2024-11-30 10:00:00
Tritones Vallarta MFC v Tigres de Alica FC,33829289,MX,GMT,2024-11-30 22:00:00,24,2024-11-30 19:00:00
USM Khenchela v Olympique Akbou,33826731,DZ,GMT,2024-11-30 14:00:00,24,2024-11-30 11:00:00
Istres v Grenoble,33827767,FR,GMT,2024-11-30 16:00:00,24,2024-11-30 13:00:00
Al Taee v Al Safa,33826739,SA,GMT,2024-11-30 12:20:00,11,2024-11-30 09:20:00
NC Magra v MC Oran,33826748,DZ,GMT,2024-11-30 14:00:00,24,2024-11-30 11:00:00
GFA Rumilly Vallieres v Grand Ouest Association Ly,33827772,FR,GMT,2024-11-30 16:00:00,24,2024-11-30 13:00:00
Alanyaspor v Trabzonspor,33817022,TR,GMT,2024-11-30 16:00:00,24,2024-11-30 13:00:00
Feyenoord v Fortuna Sittard,33772472,NL,GMT,2024-11-30 19:00:00,33,2024-11-30 16:00:00
Motherwell v Hibernian,33791934,GB,GMT,2024-11-30 15:00:00,33,2024-11-30 12:00:00
FC Groningen v Willem II,33772476,NL,GMT,2024-11-30 17:45:00,33,2024-11-30 14:45:00
Floriana v Paola Hibernians FC,33827771,MT,GMT,2024-11-30 13:15:00,22,2024-11-30 10:15:00
Celtic v Ross Co,33791939,GB,GMT,2024-11-30 15:00:00,33,2024-11-30 12:00:00
Stade Tunisien v Club Africain,33828292,GB,GMT,2024-11-30 13:00:00,18,2024-11-30 10:00:00
Kilmarnock v Dundee,33791938,GB,GMT,2024-11-30 15:00:00,33,2024-11-30 12:00:00
PEC Zwolle v Sparta Rotterdam,33772481,NL,GMT,2024-11-30 20:00:00,33,2024-11-30 17:00:00
Dundee Utd v St Mirren,33791936,GB,GMT,2024-11-30 15:00:00,33,2024-11-30 12:00:00
NAC Breda v Almere City,33772480,NL,GMT,2024-11-30 15:30:00,33,2024-11-30 12:30:00
Criciuma v Corinthians,33817538,BR,GMT,2024-11-30 22:30:00,43,2024-11-30 19:30:00
Istanbulspor v 76 Igdir Belediyespor,33817027,TR,GMT,2024-11-30 13:00:00,17,2024-11-30 10:00:00
Cadiz v Deportivo,33813963,ES,GMT,2024-11-30 17:30:00,24,2024-11-30 14:30:00
US Tataouine v Olympique De Beja,33828301,GB,GMT,2024-11-30 13:00:00,18,2024-11-30 10:00:00
Dukla Prague v Sparta Prague,33813455,CZ,GMT,2024-11-30 18:00:00,24,2024-11-30 15:00:00
Etoile Sportive Sahel v AS Gabes,33828308,GB,GMT,2024-11-30 13:00:00,18,2024-11-30 10:00:00
Alaves v Leganes,33772503,ES,GMT,2024-11-30 15:15:00,43,2024-11-30 12:15:00
Espanyol v Celta Vigo,33772501,ES,GMT,2024-11-30 17:30:00,43,2024-11-30 14:30:00
Yverdon Sport v Luzern,33813978,CH,GMT,2024-11-30 17:00:00,33,2024-11-30 14:00:00
Barcelona v Las Palmas,33772504,ES,GMT,2024-11-30 13:00:00,38,2024-11-30 10:00:00
Grazer AK v Wolfsberger AC,33771998,AT,GMT,2024-11-30 16:00:00,24,2024-11-30 13:00:00
Croatia (W) v Slovenia (W),33827803,,GMT,2024-11-30 13:00:00,18,2024-11-30 10:00:00
Hartberg v Red Bull Salzburg,33772003,AT,GMT,2024-11-30 16:00:00,24,2024-11-30 13:00:00
Valladolid v Atletico Madrid,33772513,ES,GMT,2024-11-30 20:00:00,43,2024-11-30 17:00:00
FC Basel v Lausanne,33813984,CH,GMT,2024-11-30 17:00:00,33,2024-11-30 14:00:00
Mohun Bagan Super Giants v Chennaiyin FC,33820641,IN,GMT,2024-11-30 14:00:00,24,2024-11-30 11:00:00
Forfar v Stirling,33819619,GB,GMT,2024-11-30 15:00:00,24,2024-11-30 12:00:00
Cerrito v Uruguay Montevideo FC,33826796,UY,GMT,2024-11-30 12:45:00,24,2024-11-30 09:45:00
Coban Imperial v Comunicaciones,33826281,GT,GMT,2024-11-30 20:00:00,24,2024-11-30 17:00:00
Edinburgh City v Dunfermline,33819626,GB,GMT,2024-11-30 15:00:00,24,2024-11-30 12:00:00
Irvine Meadow v Stenhousemuir,33819638,GB,GMT,2024-11-30 15:00:00,24,2024-11-30 12:00:00
Calor de San Pedro v CD Poza Rica,33830384,MX,GMT,2024-11-30 22:00:00,24,2024-11-30 19:00:00
Honved v Vasas,33822195,HU,GMT,2024-11-30 16:00:00,24,2024-11-30 13:00:00
Atalanta B v Union Clodiense Chioggia,33822205,IT,GMT,2024-11-30 16:30:00,24,2024-11-30 13:30:00
SCR Altach v Sturm Graz,33772024,AT,GMT,2024-11-30 16:00:00,24,2024-11-30 13:00:00
Al Ittihad (EGY) v El Geish,33811454,EG,GMT,2024-11-30 18:00:00,24,2024-11-30 15:00:00
